                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.62431,                0.46808,                0.84526,                0.84047,                0.50076,                0.56272,                0.46039,                0.50705,                0.41505,                0.82889,              0.0006634,              0.0006634,              0.0006634
                     36,                0.62836,                0.47579,                0.84635,                0.87067,                0.51881,                0.57259,                0.47609,                0.51823,                0.42469,                0.82944,              0.0006535,              0.0006535,              0.0006535
                     37,                 0.6031,                0.45319,                0.84014,                0.87249,                0.55072,                0.59729,                0.50791,                0.49518,                0.40922,                0.82991,              0.0006436,              0.0006436,              0.0006436
                     38,                 0.6175,                0.45656,                 0.8411,                0.89435,                0.52224,                0.59553,                0.49137,                0.49902,                0.40788,                0.82882,              0.0006337,              0.0006337,              0.0006337
                     39,                0.61958,                0.45686,                0.84324,                0.92367,                0.50099,                0.59146,                0.47675,                0.52131,                0.42293,                 0.8317,              0.0006238,              0.0006238,              0.0006238
                     40,                0.58196,                 0.4434,                0.83475,                0.91263,                0.50048,                0.58949,                0.47315,                0.52103,                0.41013,                0.83011,              0.0006139,              0.0006139,              0.0006139
                     41,                0.59589,                0.44281,                0.83574,                0.95719,                0.46413,                0.59437,                0.47882,                0.50098,                0.40309,                0.82912,               0.000604,               0.000604,               0.000604
                     42,                0.59042,                0.43555,                0.82855,                0.91654,                0.48059,                 0.6101,                0.49882,                 0.4843,                 0.4045,                0.82756,              0.0005941,              0.0005941,              0.0005941
                     43,                0.57205,                0.43222,                0.83356,                0.90085,                 0.5006,                 0.5923,                0.49163,                0.49452,                0.38818,                0.82817,              0.0005842,              0.0005842,              0.0005842
                     44,                0.58133,                0.42265,                0.83113,                0.89152,                0.53805,                0.61729,                0.51932,                0.49287,                0.38891,                0.82614,              0.0005743,              0.0005743,              0.0005743
                     45,                0.58058,                0.43237,                0.83791,                 0.9175,                0.54691,                0.61077,                0.50711,                0.49363,                0.39915,                0.82735,              0.0005644,              0.0005644,              0.0005644
                     46,                0.57725,                0.42849,                0.83138,                0.88857,                0.54748,                0.62216,                0.52179,                0.48972,                0.39074,                0.82741,              0.0005545,              0.0005545,              0.0005545
                     47,                0.57288,                0.43091,                0.83582,                0.88801,                0.55015,                0.62156,                0.51091,                0.49468,                0.38533,                0.82725,              0.0005446,              0.0005446,              0.0005446
                     48,                  0.589,                0.43326,                0.83713,                 0.9207,                0.53244,                0.63666,                0.53369,                0.48894,                0.39171,                0.82715,              0.0005347,              0.0005347,              0.0005347
                     49,                0.57749,                0.42566,                0.84191,                0.87533,                0.56767,                0.63794,                0.53366,                0.49134,                0.38757,                0.82874,              0.0005248,              0.0005248,              0.0005248
                     50,                0.58308,                0.43242,                0.84204,                0.87885,                 0.5434,                0.63084,                0.52813,                0.49293,                0.38637,                0.82749,              0.0005149,              0.0005149,              0.0005149
                     51,                0.56358,                 0.4161,                0.83562,                0.79449,                0.59894,                0.63611,                0.54214,                0.49011,                0.38808,                0.82758,               0.000505,               0.000505,               0.000505
                     52,                0.56753,                0.41715,                 0.8295,                0.92498,                0.52673,                0.63339,                0.52862,                0.48622,                0.37435,                  0.828,              0.0004951,              0.0004951,              0.0004951
                     53,                0.58188,                0.42013,                0.83564,                0.93625,                0.51966,                0.63089,                0.51869,                0.49353,                0.37819,                0.83005,              0.0004852,              0.0004852,              0.0004852
                     54,                0.58585,                0.43554,                0.83413,                0.85414,                0.60517,                0.65065,                0.54819,                0.48375,                0.38235,                0.82719,              0.0004753,              0.0004753,              0.0004753
                     55,                0.56862,                0.41771,                0.82949,                0.80098,                 0.6072,                0.64355,                0.54354,                0.47675,                0.37365,                0.82585,              0.0004654,              0.0004654,              0.0004654
                     56,                0.55958,                0.40917,                0.83332,                0.80022,                0.63453,                0.62689,                0.51699,                0.48702,                 0.3714,                0.82611,              0.0004555,              0.0004555,              0.0004555
                     57,                0.57139,                0.41782,                 0.8306,                 0.8494,                0.63652,                0.64076,                0.54582,                0.48639,                0.36775,                 0.8258,              0.0004456,              0.0004456,              0.0004456
                     58,                0.57093,                0.41219,                0.83313,                0.82516,                0.64223,                0.64711,                0.54378,                0.47286,                0.36356,                 0.8267,              0.0004357,              0.0004357,              0.0004357
                     59,                0.56487,                0.40854,                0.83489,                0.82575,                0.61111,                0.65256,                0.55397,                0.47851,                0.37211,                0.82664,              0.0004258,              0.0004258,              0.0004258
                     60,                0.55316,                0.40318,                0.83846,                0.84229,                0.61282,                0.64966,                0.54448,                0.46211,                 0.3628,                0.82479,              0.0004159,              0.0004159,              0.0004159
                     61,                0.56886,                0.41044,                0.83779,                0.84507,                0.61767,                0.64878,                0.54722,                0.48994,                0.37525,                0.82737,               0.000406,               0.000406,               0.000406
                     62,                0.55685,                0.40941,                0.83792,                0.83209,                0.62182,                0.64025,                0.53859,                0.46799,                0.36892,                0.82456,              0.0003961,              0.0003961,              0.0003961
                     63,                0.55212,                0.40016,                0.83068,                0.85963,                0.57465,                0.64951,                0.55062,                0.45797,                0.36183,                0.82319,              0.0003862,              0.0003862,              0.0003862
                     64,                0.54827,                0.39744,                0.82779,                0.83374,                0.57463,                0.64028,                0.55205,                0.45889,                0.36554,                 0.8233,              0.0003763,              0.0003763,              0.0003763
                     65,                0.54406,                0.39328,                0.82891,                 0.8365,                0.63629,                0.65217,                0.55674,                 0.4658,                0.35931,                0.82467,              0.0003664,              0.0003664,              0.0003664
                     66,                0.55325,                0.39966,                0.82422,                0.83944,                0.63493,                0.66605,                0.55404,                0.46938,                0.36227,                0.82515,              0.0003565,              0.0003565,              0.0003565
                     67,                0.54036,                0.38832,                0.83315,                 0.8659,                0.59905,                0.66803,                0.57373,                0.45726,                0.36132,                0.82284,              0.0003466,              0.0003466,              0.0003466
                     68,                0.54057,                0.38592,                0.83041,                0.87514,                0.62728,                0.67275,                0.58097,                0.46665,                0.35467,                0.82379,              0.0003367,              0.0003367,              0.0003367
                     69,                0.53251,                0.39007,                 0.8301,                0.88507,                0.60312,                 0.6702,                 0.5746,                0.45171,                0.34882,                0.82517,              0.0003268,              0.0003268,              0.0003268
                     70,                0.53551,                0.38863,                0.82967,                 0.8821,                0.61959,                0.67541,                0.57051,                0.44488,                0.34563,                0.82362,              0.0003169,              0.0003169,              0.0003169
                     71,                0.53088,                0.38534,                0.82482,                 0.8564,                0.64317,                0.67031,                0.57277,                0.44768,                0.35253,                0.82269,               0.000307,               0.000307,               0.000307
                     72,                0.53039,                0.38557,                0.82658,                0.89479,                0.62272,                0.68008,                0.58905,                 0.4547,                0.35409,                0.82312,              0.0002971,              0.0002971,              0.0002971
                     73,                0.56183,                0.40565,                0.83222,                0.80317,                0.60094,                0.64962,                0.53363,                0.46879,                0.36207,                 0.8234,              0.0002872,              0.0002872,              0.0002872
                     74,                0.53104,                0.38536,                 0.8241,                0.88069,                0.60286,                0.66969,                0.55466,                0.45475,                0.34819,                0.82233,              0.0002773,              0.0002773,              0.0002773
                     75,                0.53606,                 0.3827,                0.82474,                 0.8291,                0.63477,                0.65916,                0.56321,                0.45278,                0.34427,                0.82256,              0.0002674,              0.0002674,              0.0002674
                     76,                0.53667,                0.38153,                0.82784,                0.87046,                0.63514,                0.66541,                0.57113,                0.45409,                0.34096,                0.82313,              0.0002575,              0.0002575,              0.0002575
                     77,                0.52671,                 0.3766,                0.82214,                0.83523,                0.63951,                0.67235,                0.57906,                0.44414,                0.34289,                0.82299,              0.0002476,              0.0002476,              0.0002476
                     78,                0.52084,                0.37984,                0.83127,                0.83929,                0.65213,                0.68482,                0.59427,                0.44302,                0.34264,                0.82302,              0.0002377,              0.0002377,              0.0002377
                     79,                0.53031,                0.37389,                0.82139,                0.88298,                0.62524,                0.68915,                0.59431,                0.44145,                  0.336,                0.82151,              0.0002278,              0.0002278,              0.0002278
                     80,                0.50619,                0.36613,                 0.8213,                0.86333,                0.63089,                0.66313,                0.56835,                0.43766,                0.33342,                0.82126,              0.0002179,              0.0002179,              0.0002179
                     81,                0.54073,                0.38891,                0.83044,                0.85386,                0.62702,                0.67097,                0.56806,                0.44498,                0.33917,                0.82164,               0.000208,               0.000208,               0.000208
                     82,                0.51981,                0.37542,                 0.8254,                0.88555,                0.61524,                0.67738,                0.57904,                0.45035,                0.33837,                0.82189,              0.0001981,              0.0001981,              0.0001981
                     83,                0.51671,                0.37381,                0.82078,                0.87494,                0.61848,                0.67843,                0.58078,                0.43936,                0.33046,                0.82023,              0.0001882,              0.0001882,              0.0001882
                     84,                0.51641,                0.36956,                0.82763,                0.84608,                0.66905,                0.68277,                0.59987,                0.43219,                0.32758,                0.81922,              0.0001783,              0.0001783,              0.0001783
                     85,                0.52238,                0.37251,                0.82611,                0.84918,                0.65524,                0.68056,                0.58169,                0.44389,                0.33082,                 0.8205,              0.0001684,              0.0001684,              0.0001684
                     86,                0.50317,                 0.3648,                0.81915,                0.84472,                0.66856,                0.67705,                0.58194,                0.44413,                0.33626,                0.82073,              0.0001585,              0.0001585,              0.0001585
                     87,                0.51994,                0.37235,                0.82519,                0.85116,                0.65884,                0.67947,                0.58581,                0.42897,                0.32876,                 0.8194,              0.0001486,              0.0001486,              0.0001486
                     88,                0.51049,                0.36483,                0.82662,                0.84863,                0.66555,                0.68736,                0.59043,                0.43373,                0.32674,                0.81974,              0.0001387,              0.0001387,              0.0001387
