                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0566,                 3.3471,                0.96616,                0.03929,                0.31848,                0.16781,                 0.1256,                0.78865,                 3.6305,                0.85737,                0.00017,                0.00017,                0.00017
                      1,                0.95309,                 1.2983,                0.88311,                      1,                0.10212,                 0.2623,                0.20446,                0.80597,                 2.1816,                0.86091,             0.00034654,             0.00034654,             0.00034654
                      2,                 0.8829,                0.85804,                0.88273,                0.97568,                0.21964,                0.26713,                0.20226,                0.82936,                 1.2307,                0.86685,             0.00051951,             0.00051951,             0.00051951
                      3,                0.84258,                0.75798,                0.87666,                0.98219,                0.22684,                 0.2742,                 0.2109,                0.73714,                  1.003,                0.85906,             0.00068891,             0.00068891,             0.00068891
                      4,                0.77613,                0.68493,                0.87012,                0.96718,                0.23284,                0.33825,                0.27103,                 0.6609,                0.70468,                 0.8489,             0.00085476,             0.00085476,             0.00085476
                      5,                0.75546,                0.65119,                0.87012,                0.98276,                0.23773,                0.33155,                0.26669,                0.65332,                0.73826,                0.84819,              0.0009505,              0.0009505,              0.0009505
                      6,                0.75449,                0.65372,                0.86847,                0.97679,                0.23892,                0.51871,                0.40788,                0.66742,                0.95691,                0.85065,              0.0009505,              0.0009505,              0.0009505
                      7,                0.73571,                0.62526,                0.86334,                0.97357,                0.23782,                0.29535,                0.23681,                0.64189,                0.67816,                 0.8498,              0.0009406,              0.0009406,              0.0009406
                      8,                0.72227,                0.60705,                0.86544,                0.96541,                0.24932,                0.46809,                0.37684,                0.60839,                0.72747,                0.84501,              0.0009307,              0.0009307,              0.0009307
                      9,                0.70804,                0.59123,                0.86029,                0.93247,                 0.2762,                  0.519,                0.41625,                0.58701,                0.59482,                0.84269,              0.0009208,              0.0009208,              0.0009208
                     10,                0.71777,                0.58102,                0.86509,                0.86588,                0.44585,                0.52581,                  0.413,                0.59683,                0.61117,                0.84565,              0.0009109,              0.0009109,              0.0009109
                     11,                0.70479,                 0.5656,                 0.8545,                0.97217,                 0.4682,                0.54052,                0.43865,                0.59968,                0.58937,                0.84223,               0.000901,               0.000901,               0.000901
                     12,                0.69922,                0.56753,                0.86008,                0.98556,                0.46325,                0.54103,                0.43947,                0.60704,                0.55286,                0.83905,              0.0008911,              0.0008911,              0.0008911
                     13,                0.69019,                0.55461,                0.85446,                0.97942,                0.41403,                0.54245,                0.44369,                0.57817,                0.52515,                0.83887,              0.0008812,              0.0008812,              0.0008812
                     14,                0.67356,                0.53342,                0.85419,                0.99056,                 0.4746,                0.54879,                0.45555,                0.56142,                0.48597,                 0.8386,              0.0008713,              0.0008713,              0.0008713
                     15,                0.66804,                 0.5246,                0.85351,                 0.9129,                0.45515,                0.54595,                0.46276,                0.58091,                0.52087,                0.84074,              0.0008614,              0.0008614,              0.0008614
                     16,                0.67122,                0.52333,                0.85019,                0.98285,                0.48356,                0.54847,                0.46479,                0.56218,                0.50515,                0.83504,              0.0008515,              0.0008515,              0.0008515
                     17,                0.67719,                0.51853,                0.85442,                0.97405,                0.49264,                0.54479,                  0.455,                0.54984,                0.48213,                0.83402,              0.0008416,              0.0008416,              0.0008416
                     18,                0.66945,                0.51551,                0.85148,                0.94195,                0.46056,                0.56216,                0.47377,                0.55012,                0.47715,                0.83584,              0.0008317,              0.0008317,              0.0008317
                     19,                 0.6517,                0.50519,                  0.851,                0.94478,                0.48516,                0.57361,                0.48613,                0.54704,                0.45181,                0.83514,              0.0008218,              0.0008218,              0.0008218
                     20,                0.64822,                0.49121,                0.84958,                0.93367,                0.50671,                0.58584,                0.48465,                0.53923,                0.45301,                 0.8362,              0.0008119,              0.0008119,              0.0008119
                     21,                0.63146,                0.48875,                0.84264,                0.94813,                 0.4698,                0.58236,                0.48891,                0.52269,                 0.4491,                0.83139,               0.000802,               0.000802,               0.000802
                     22,                0.64053,                0.48662,                0.84337,                 0.9296,                0.50827,                0.59149,                0.47189,                0.54044,                0.47427,                0.83244,              0.0007921,              0.0007921,              0.0007921
                     23,                0.63191,                0.48224,                0.83591,                0.97454,                0.47989,                0.59276,                0.48524,                 0.5288,                0.44235,                0.83154,              0.0007822,              0.0007822,              0.0007822
                     24,                0.63266,                 0.4827,                0.84701,                 0.8929,                0.51841,                0.59257,                0.48895,                0.51985,                 0.4553,                0.83103,              0.0007723,              0.0007723,              0.0007723
                     25,                0.63309,                0.48797,                0.84206,                0.97094,                0.49913,                0.60035,                0.48642,                0.53694,                0.45687,                0.83281,              0.0007624,              0.0007624,              0.0007624
