                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.62382,                0.47787,                0.84244,                0.97207,                0.50001,                0.60728,                0.48974,                0.53303,                0.45432,                0.83081,              0.0007525,              0.0007525,              0.0007525
                     27,                0.61379,                0.47141,                 0.8442,                 0.9719,                0.49316,                0.61923,                0.49103,                0.53387,                 0.4262,                 0.8321,              0.0007426,              0.0007426,              0.0007426
                     28,                0.63716,                0.47616,                0.84278,                0.93731,                0.50116,                0.59669,                0.48638,                0.53293,                0.44386,                0.83258,              0.0007327,              0.0007327,              0.0007327
                     29,                0.62007,                0.46893,                0.84334,                0.92353,                0.51759,                0.60364,                0.48136,                0.53752,                0.43681,                0.83419,              0.0007228,              0.0007228,              0.0007228
                     30,                0.63197,                0.47122,                0.84299,                0.97038,                0.47879,                0.59771,                0.49356,                 0.5037,                0.42528,                0.82779,              0.0007129,              0.0007129,              0.0007129
                     31,                0.61942,                0.45675,                0.83868,                0.89653,                0.52682,                 0.5974,                0.48991,                0.50345,                0.41043,                0.82893,               0.000703,               0.000703,               0.000703
                     32,                0.62073,                0.45814,                0.83905,                0.89277,                0.52983,                  0.597,                0.49405,                 0.4929,                0.39855,                0.82685,              0.0006931,              0.0006931,              0.0006931
                     33,                0.62597,                0.46539,                0.84678,                0.93214,                0.53394,                0.61063,                0.51357,                0.51583,                0.42324,                0.82808,              0.0006832,              0.0006832,              0.0006832
                     34,                0.61991,                0.46156,                0.84112,                0.91942,                0.54327,                0.61661,                0.51543,                 0.5204,                0.41576,                0.83069,              0.0006733,              0.0006733,              0.0006733
                     35,                0.60897,                0.45381,                0.83987,                0.87712,                 0.5614,                0.62203,                 0.5122,                0.49794,                0.39881,                0.82907,              0.0006634,              0.0006634,              0.0006634
                     36,                0.60555,                0.43978,                0.84041,                0.91316,                0.53137,                0.62641,                0.51458,                0.49268,                0.39889,                0.82679,              0.0006535,              0.0006535,              0.0006535
                     37,                 0.6066,                0.44327,                0.83827,                0.93473,                0.55397,                0.63259,                0.52119,                0.50467,                0.39894,                0.82667,              0.0006436,              0.0006436,              0.0006436
                     38,                0.60597,                0.44496,                 0.8452,                0.95804,                0.51545,                0.63304,                0.51693,                0.51743,                0.42722,                0.83062,              0.0006337,              0.0006337,              0.0006337
                     39,                0.60925,                0.44765,                0.84098,                0.96421,                0.52658,                0.62748,                0.50627,                0.50521,                0.38853,                0.82733,              0.0006238,              0.0006238,              0.0006238
                     40,                0.58164,                0.42735,                0.84176,                0.95332,                0.52447,                0.62644,                0.51242,                0.49956,                0.40368,                0.82673,              0.0006139,              0.0006139,              0.0006139
                     41,                0.59907,                0.43885,                0.83589,                0.95045,                0.54322,                0.63984,                0.51423,                0.49418,                0.39246,                0.82666,               0.000604,               0.000604,               0.000604
                     42,                0.58006,                0.43084,                0.83589,                0.93545,                 0.5319,                0.64653,                0.52516,                0.49231,                0.39365,                0.82593,              0.0005941,              0.0005941,              0.0005941
                     43,                0.59212,                0.43348,                0.83467,                0.91765,                 0.5628,                0.64606,                0.52717,                0.50909,                0.38569,                0.82766,              0.0005842,              0.0005842,              0.0005842
                     44,                0.59383,                 0.4326,                0.84085,                0.91692,                0.56799,                0.63321,                0.53657,                0.47602,                0.38321,                 0.8238,              0.0005743,              0.0005743,              0.0005743
                     45,                0.56354,                0.41363,                 0.8336,                 0.9072,                0.56527,                0.63446,                0.52692,                0.49497,                0.38288,                0.82547,              0.0005644,              0.0005644,              0.0005644
                     46,                0.58003,                0.41948,                0.83409,                0.93153,                0.55821,                0.63799,                0.54558,                0.47545,                0.37763,                0.82499,              0.0005545,              0.0005545,              0.0005545
                     47,                0.57649,                0.41899,                0.83279,                0.93539,                0.56516,                0.63238,                0.52567,                0.47651,                0.37395,                0.82376,              0.0005446,              0.0005446,              0.0005446
                     48,                0.58577,                 0.4241,                0.83147,                 0.9527,                0.56415,                0.63507,                0.52979,                0.48912,                0.37852,                0.82359,              0.0005347,              0.0005347,              0.0005347
                     49,                0.58396,                0.41835,                0.83485,                0.94879,                 0.5468,                0.62201,                0.52567,                0.48356,                0.37364,                0.82399,              0.0005248,              0.0005248,              0.0005248
                     50,                0.57497,                0.41131,                0.83315,                0.94486,                0.52348,                0.61891,                 0.5158,                0.47251,                0.37193,                0.82443,              0.0005149,              0.0005149,              0.0005149
                     51,                 0.5684,                0.41438,                0.83144,                0.96088,                0.55166,                0.62665,                0.53133,                0.48074,                0.37654,                0.82559,               0.000505,               0.000505,               0.000505
                     52,                 0.5598,                0.40713,                0.83313,                0.94389,                0.55264,                0.63849,                0.53732,                0.47323,                0.37807,                0.82426,              0.0004951,              0.0004951,              0.0004951
                     53,                0.56094,                0.40733,                0.83106,                0.95976,                0.55057,                0.64031,                0.54412,                0.47011,                0.36928,                0.82237,              0.0004852,              0.0004852,              0.0004852
                     54,                0.57851,                0.41417,                0.83405,                0.97536,                0.52993,                0.63847,                0.54939,                 0.4929,                 0.3737,                0.82412,              0.0004753,              0.0004753,              0.0004753
                     55,                0.57151,                0.41335,                0.83024,                0.95111,                0.55658,                0.63933,                0.54472,                0.47759,                0.36345,                0.82293,              0.0004654,              0.0004654,              0.0004654
                     56,                0.57638,                0.41613,                0.83564,                 0.9497,                0.56009,                0.64013,                0.54278,                0.48632,                0.36006,                0.82434,              0.0004555,              0.0004555,              0.0004555
                     57,                0.57363,                0.40445,                 0.8309,                0.95991,                0.54461,                0.64167,                0.53585,                0.45806,                0.34623,                0.82136,              0.0004456,              0.0004456,              0.0004456
                     58,                0.56992,                0.40124,                0.83014,                0.96195,                0.54522,                0.64273,                0.54442,                0.46162,                0.35589,                0.82393,              0.0004357,              0.0004357,              0.0004357
                     59,                 0.5648,                0.40013,                0.83038,                0.96018,                0.55951,                0.64612,                0.56479,                0.45801,                0.35049,                0.82038,              0.0004258,              0.0004258,              0.0004258
                     60,                0.54102,                0.39106,                0.82935,                0.95786,                0.56063,                0.64448,                0.55055,                0.46446,                0.34146,                0.82129,              0.0004159,              0.0004159,              0.0004159
                     61,                0.55548,                0.39752,                0.82218,                0.95435,                0.55596,                0.64097,                0.54627,                0.47035,                0.35683,                0.82248,               0.000406,               0.000406,               0.000406
                     62,                0.55888,                0.39958,                0.83102,                0.92023,                0.58125,                0.63355,                0.54818,                0.46781,                 0.3558,                0.82162,              0.0003961,              0.0003961,              0.0003961
                     63,                0.53798,                0.38218,                0.82693,                0.93099,                0.58147,                0.63922,                0.55162,                0.44997,                0.34671,                0.82081,              0.0003862,              0.0003862,              0.0003862
                     64,                 0.5555,                0.39791,                0.83188,                0.96189,                0.53758,                0.63218,                0.55199,                0.45244,                0.34599,                0.82101,              0.0003763,              0.0003763,              0.0003763
                     65,                0.55167,                  0.398,                0.83042,                0.92113,                0.52127,                0.63554,                0.53787,                0.46333,                0.35812,                 0.8213,              0.0003664,              0.0003664,              0.0003664
                     66,                0.55076,                0.39361,                 0.8259,                0.94122,                0.56516,                0.64679,                0.54432,                0.45124,                0.34538,                0.82037,              0.0003565,              0.0003565,              0.0003565
                     67,                0.54171,                0.38689,                0.82883,                 0.9299,                0.55875,                0.64641,                0.55432,                0.46446,                0.34625,                0.82141,              0.0003466,              0.0003466,              0.0003466
                     68,                0.54137,                0.39076,                 0.8321,                0.93599,                0.55158,                0.64692,                0.54835,                0.46698,                 0.3444,                0.82256,              0.0003367,              0.0003367,              0.0003367
                     69,                0.55272,                0.38914,                0.82589,                 0.9332,                0.55477,                0.64849,                0.56483,                0.45877,                0.34452,                0.82111,              0.0003268,              0.0003268,              0.0003268
                     70,                0.54361,                0.38706,                0.82522,                0.93816,                0.57279,                0.64883,                0.54568,                0.45492,                 0.3469,                0.82125,              0.0003169,              0.0003169,              0.0003169
                     71,                0.53967,                0.38389,                0.83131,                0.95549,                0.55763,                0.63835,                0.54199,                0.46108,                0.34033,                0.82169,               0.000307,               0.000307,               0.000307
                     72,                0.53044,                0.37565,                0.82548,                0.95156,                0.52294,                0.63497,                0.53672,                0.45949,                0.33983,                0.82094,              0.0002971,              0.0002971,              0.0002971
                     73,                0.53038,                0.37678,                0.82938,                0.95779,                0.52574,                0.62873,                0.54066,                0.44806,                0.34016,                0.82055,              0.0002872,              0.0002872,              0.0002872
                     74,                0.55769,                0.39255,                0.83354,                0.98629,                0.53119,                0.63745,                0.53303,                0.46219,                0.34317,                0.82153,              0.0002773,              0.0002773,              0.0002773
                     75,                0.53477,                0.37338,                0.82774,                0.98958,                0.52073,                0.63722,                0.53307,                0.46333,                0.34649,                0.82193,              0.0002674,              0.0002674,              0.0002674
                     76,                0.53808,                0.38431,                0.82992,                0.95935,                0.51637,                 0.6324,                0.53256,                0.44696,                0.34334,                0.82108,              0.0002575,              0.0002575,              0.0002575
                     77,                0.52087,                0.36748,                0.82316,                0.91969,                0.55681,                0.63703,                0.54935,                0.44981,                0.33813,                0.82011,              0.0002476,              0.0002476,              0.0002476
                     78,                0.52998,                0.36795,                0.82517,                0.91945,                 0.5523,                0.64221,                0.55275,                0.43787,                0.32956,                0.81995,              0.0002377,              0.0002377,              0.0002377
                     79,                0.52858,                0.36816,                0.82703,                0.98967,                 0.5232,                0.63936,                0.54409,                0.45037,                 0.3275,                0.81945,              0.0002278,              0.0002278,              0.0002278
                     80,                0.52316,                0.36596,                0.82459,                 0.9622,                0.54149,                0.63987,                0.54283,                0.43634,                0.32779,                0.81781,              0.0002179,              0.0002179,              0.0002179
                     81,                0.51731,                0.36471,                0.82606,                0.96021,                0.53907,                0.64096,                0.55328,                0.43784,                0.32803,                0.81856,               0.000208,               0.000208,               0.000208
                     82,                 0.5139,                0.35993,                0.82294,                0.96317,                0.54142,                0.64189,                0.55505,                0.44036,                0.33026,                0.81895,              0.0001981,              0.0001981,              0.0001981
                     83,                0.50947,                0.36013,                0.82034,                0.96386,                0.54318,                0.64042,                0.55028,                0.43562,                0.32036,                0.81818,              0.0001882,              0.0001882,              0.0001882
                     84,                0.51131,                0.36209,                0.82573,                0.96219,                0.54639,                0.63796,                0.54724,                0.43439,                0.32083,                0.81771,              0.0001783,              0.0001783,              0.0001783
                     85,                 0.5215,                0.37297,                0.82682,                0.95864,                0.55682,                0.63839,                0.55078,                 0.4355,                0.32008,                  0.818,              0.0001684,              0.0001684,              0.0001684
                     86,                0.51515,                0.35847,                0.82114,                0.95591,                0.56943,                0.63942,                0.56285,                 0.4312,                0.31908,                0.81826,              0.0001585,              0.0001585,              0.0001585
                     87,                0.50367,                0.35573,                0.82491,                0.95481,                0.57326,                0.63873,                0.56173,                0.43073,                0.31714,                0.81868,              0.0001486,              0.0001486,              0.0001486
                     88,                0.51556,                0.35964,                0.82657,                0.96136,                0.55628,                0.63937,                0.56102,                 0.4305,                0.31513,                0.81784,              0.0001387,              0.0001387,              0.0001387
                     89,                0.52676,                0.36612,                0.82348,                 0.9278,                0.58116,                0.64995,                0.57457,                0.43006,                0.31534,                 0.8184,              0.0001288,              0.0001288,              0.0001288
                     90,                0.54391,                0.40968,                0.81352,                0.63455,                0.63804,                0.65018,                0.57381,                0.43187,                0.32781,                0.81845,              0.0001189,              0.0001189,              0.0001189
                     91,                0.51857,                  0.376,                0.81089,                0.63844,                 0.6406,                0.67179,                0.58256,                0.44431,                0.32551,                0.81954,               0.000109,               0.000109,               0.000109
                     92,                0.50536,                0.36413,                0.81387,                0.92024,                0.58094,                0.67091,                0.58147,                0.44797,                0.33739,                0.82066,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.51435,                0.36658,                0.81228,                0.92571,                0.57828,                0.64641,                0.56463,                0.43825,                0.32582,                0.81827,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.51375,                0.36043,                0.81449,                0.91776,                0.58364,                0.64598,                 0.5631,                0.43875,                0.32458,                0.81762,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.49581,                0.35243,                0.80912,                0.92394,                 0.5818,                0.64784,                0.56501,                0.43862,                0.32197,                0.81772,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.50137,                0.35049,                0.81409,                0.92831,                0.57135,                0.64839,                0.56706,                0.43381,                0.31653,                0.81691,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.50265,                0.35312,                0.81006,                0.95248,                0.56105,                0.64841,                0.56721,                0.42861,                0.31438,                0.81619,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 0.4941,                0.35004,                0.81117,                  0.952,                 0.5592,                 0.6481,                0.56975,                0.42856,                0.31562,                0.81643,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.48388,                0.34041,                0.80856,                0.95215,                0.56079,                0.64744,                0.57087,                0.42584,                0.31285,                 0.8166,               2.98e-05,               2.98e-05,               2.98e-05
